CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,0,90,40,60,184,153
1,0,90,40,80,182,155
1,0,90,40,90,187,154
1,0,90,60,0,179,157
1,0,90,60,20,195,153
1,0,90,60,40,193,154
1,0,90,60,60,192,154
1,0,90,60,80,181,151
1,0,90,60,90,193,154
1,0,90,80,0,189,154
1,0,90,80,20,191,150
1,0,90,80,40,192,154
1,0,90,80,60,190,151
1,0,90,80,80,162,153
1,0,90,80,90,188,151
1,0,90,90,0,180,152
1,0,90,90,20,187,152
1,0,90,90,40,194,152
1,0,90,90,60,194,157
1,0,90,90,80,192,152
1,0,90,90,90,194,153
1,20,0,0,0,175,154
1,20,0,0,20,172,152
1,20,0,0,40,172,154
1,20,0,0,60,175,155
1,20,0,0,80,167,159
1,20,0,0,90,174,154
1,20,0,20,0,172,152
1,20,0,20,20,172,153
1,20,0,20,40,174,152
1,20,0,20,60,177,154
1,20,0,20,80,172,156
1,20,0,20,90,172,151
1,20,0,40,0,173,152
1,20,0,40,20,174,158
1,20,0,40,40,175,157
1,20,0,40,60,172,152
1,20,0,40,80,182,152
1,20,0,40,90,177,156
1,20,0,60,0,175,155
1,20,0,60,20,175,153
1,20,0,60,40,176,153
1,20,0,60,60,172,155
1,20,0,60,80,174,155
1,20,0,60,90,176,155
1,20,0,80,0,170,156
1,20,0,80,20,174,153
1,20,0,80,40,172,152
1,20,0,80,60,173,152
1,20,0,80,80,174,153
1,20,0,80,90,171,155
1,20,0,90,0,177,152
1,20,0,90,20,172,154
1,20,0,90,40,175,152
1,20,0,90,60,171,153
1,20,0,90,80,173,155
1,20,0,90,90,173,154
1,20,20,0,0,180,153
1,20,20,0,20,178,152
1,20,20,0,40,175,154
1,20,20,0,60,177,151
1,20,20,0,80,179,154
1,20,20,0,90,177,153
1,20,20,20,0,179,154
1,20,20,20,20,178,153
1,20,20,20,40,179,156
1,20,20,20,60,178,160
1,20,20,20,80,178,151
1,20,20,20,90,180,152
1,20,20,40,0,182,151
1,20,20,40,20,178,156
1,20,20,40,40,181,151
1,20,20,40,60,181,153
1,20,20,40,80,180,151
1,20,20,40,90,179,153
1,20,20,60,0,182,154
1,20,20,60,20,179,160
1,20,20,60,40,176,151
1,20,20,60,60,178,152
1,20,20,60,80,180,150
1,20,20,60,90,181,152
1,20,20,80,0,179,149
1,20,20,80,20,179,155
1,20,20,80,40,179,152
1,20,20,80,60,181,151
1,20,20,80,80,180,160
1,20,20,80,90,177,153
1,20,20,90,0,182,156
1,20,20,90,20,181,156
1,20,20,90,40,180,152
1,20,20,90,60,176,157
1,20,20,90,80,178,155
1,20,20,90,90,180,158
1,20,40,0,0,182,153
1,20,40,0,20,179,155
1,20,40,0,40,180,153
1,20,40,0,60,176,151
1,20,40,0,80,176,160
1,20,40,0,90,169,152
1,20,40,20,0,178,152
1,20,40,20,20,183,152
1,20,40,20,40,177,153
1,20,40,20,60,181,153
1,20,40,20,80,179,153
1,20,40,20,90,187,154
1,20,40,40,0,179,162
1,20,40,40,20,180,162
1,20,40,40,40,184,161
1,20,40,40,60,179,152
1,20,40,40,80,187,155
1,20,40,40,90,179,156
1,20,40,60,0,180,151
1,20,40,60,20,179,151
1,20,40,60,40,178,157
1,20,40,60,60,184,148
1,20,40,60,80,183,150
1,20,40,60,90,180,152
1,20,40,80,0,180,153
1,20,40,80,20,178,158
1,20,40,80,40,181,158
1,20,40,80,60,179,153
1,20,40,80,80,178,150
1,20,40,80,90,179,155
1,20,40,90,0,182,156
1,20,40,90,20,181,153
1,20,40,90,40,178,157
1,20,40,90,60,184,151
1,20,40,90,80,177,151
1,20,40,90,90,187,154
1,20,60,0,0,200,158
1,20,60,0,20,200,156
1,20,60,0,40,196,152
1,20,60,0,60,190,153
1,20,60,0,80,193,153
1,20,60,0,90,192,154
1,20,60,20,0,193,153
1,20,60,20,20,193,152
1,20,60,20,40,192,153
1,20,60,20,60,192,158
1,20,60,20,80,197,154
1,20,60,20,90,186,151
1,20,60,40,0,190,153
1,20,60,40,20,191,157
1,20,60,40,40,199,160
1,20,60,40,60,196,159
1,20,60,40,80,183,153
1,20,60,40,90,194,152
1,20,60,60,0,198,153
1,20,60,60,20,196,152
1,20,60,60,40,193,154
1,20,60,60,60,194,153
1,20,60,60,80,193,152
1,20,60,60,90,184,155
1,20,60,80,0,196,149
1,20,60,80,20,193,152
1,20,60,80,40,198,155
1,20,60,80,60,193,152
1,20,60,80,80,194,152
1,20,60,80,90,188,152
1,20,60,90,0,195,154
1,20,60,90,20,191,151
1,20,60,90,40,184,154
1,20,60,90,60,196,158
1,20,60,90,80,191,158
1,20,60,90,90,190,159
1,20,80,0,0,192,161
1,20,80,0,20,188,157
1,20,80,0,40,192,152
1,20,80,0,60,192,152
1,20,80,0,80,194,153
1,20,80,0,90,194,151
1,20,80,20,0,194,155
1,20,80,20,20,194,153
1,20,80,20,40,184,156
1,20,80,20,60,192,153
1,20,80,20,80,196,158
1,20,80,20,90,196,152
1,20,80,40,0,189,152
1,20,80,40,20,195,156
1,20,80,40,40,196,153
1,20,80,40,60,196,152
1,20,80,40,80,192,153
1,20,80,40,90,190,154
1,20,80,60,0,194,152
1,20,80,60,20,183,156
1,20,80,60,40,194,154
1,20,80,60,60,187,154
1,20,80,60,80,198,154
1,20,80,60,90,195,152
1,20,80,80,0,198,150
1,20,80,80,20,196,158
1,20,80,80,40,205,160
1,20,80,80,60,192,157
1,20,80,80,80,193,154
1,20,80,80,90,175,154
1,20,80,90,0,194,154
1,20,80,90,20,193,151
1,20,80,90,40,187,152
1,20,80,90,60,193,154
1,20,80,90,80,184,153
1,20,80,90,90,190,154
1,20,90,0,0,187,153
1,20,90,0,20,189,154
1,20,90,0,40,196,152
1,20,90,0,60,180,153
1,20,90,0,80,183,153
1,20,90,0,90,190,155
1,20,90,20,0,193,153
1,20,90,20,20,181,153
1,20,90,20,40,192,153
1,20,90,20,60,189,156
1,20,90,20,80,180,152
1,20,90,20,90,180,160
1,20,90,40,0,192,152
1,20,90,40,20,194,153
1,20,90,40,40,189,149
1,20,90,40,60,184,149
1,20,90,40,80,192,152
1,20,90,40,90,192,152
1,20,90,60,0,195,154
1,20,90,60,20,194,151
1,20,90,60,40,195,153
1,20,90,60,60,188,152
1,20,90,60,80,192,153
1,20,90,60,90,197,154
1,20,90,80,0,194,155
1,20,90,80,20,195,151
1,20,90,80,40,197,154
1,20,90,80,60,195,152
1,20,90,80,80,179,155
1,20,90,80,90,184,153
1,20,90,90,0,187,152
1,20,90,90,20,204,152
1,20,90,90,40,201,156
1,20,90,90,60,179,154
1,20,90,90,80,180,159
1,20,90,90,90,196,155
1,40,0,0,0,179,152
1,40,0,0,20,173,152
1,40,0,0,40,174,154
1,40,0,0,60,174,152
1,40,0,0,80,175,152
1,40,0,0,90,173,153
1,40,0,20,0,173,152
1,40,0,20,20,173,158
1,40,0,20,40,177,160
1,40,0,20,60,177,152
1,40,0,20,80,173,151
1,40,0,20,90,180,152
1,40,0,40,0,173,153
1,40,0,40,20,171,154
1,40,0,40,40,176,151
