Value,Iteration,Seed,Scheduler
0,1,19,1D
2,2,19,1D
3,3,19,1D
5,4,19,1D
6,5,19,1D
7,6,19,1D
7,7,19,1D
7,8,19,1D
9,9,19,1D
0,10,19,1D
4,11,19,1D
9,12,19,1D
10,13,19,1D
10,14,19,1D
10,15,19,1D
10,16,19,1D
11,17,19,1D
12,18,19,1D
15,19,19,1D
0,20,19,1D
3,21,19,1D
3,22,19,1D
3,23,19,1D
5,24,19,1D
7,25,19,1D
9,26,19,1D
10,27,19,1D
12,28,19,1D
15,29,19,1D
0,30,19,1D
2,31,19,1D
4,32,19,1D
5,33,19,1D
8,34,19,1D
9,35,19,1D
9,36,19,1D
13,37,19,1D
13,38,19,1D
14,39,19,1D
0,40,19,1D
4,41,19,1D
6,42,19,1D
7,43,19,1D
10,44,19,1D
11,45,19,1D
13,46,19,1D
16,47,19,1D
16,48,19,1D
17,49,19,1D
0,50,19,1D
1,51,19,1D
2,52,19,1D
3,53,19,1D
4,54,19,1D
7,55,19,1D
9,56,19,1D
10,57,19,1D
12,58,19,1D
13,59,19,1D
0,60,19,1D
2,61,19,1D
6,62,19,1D
7,63,19,1D
8,64,19,1D
9,65,19,1D
10,66,19,1D
12,67,19,1D
12,68,19,1D
14,69,19,1D
0,70,19,1D
4,71,19,1D
7,72,19,1D
7,73,19,1D
10,74,19,1D
10,75,19,1D
13,76,19,1D
14,77,19,1D
15,78,19,1D
16,79,19,1D
0,80,19,1D
4,81,19,1D
7,82,19,1D
8,83,19,1D
9,84,19,1D
12,85,19,1D
15,86,19,1D
17,87,19,1D
18,88,19,1D
21,89,19,1D
0,90,19,1D
3,91,19,1D
6,92,19,1D
8,93,19,1D
10,94,19,1D
11,95,19,1D
16,96,19,1D
18,97,19,1D
19,98,19,1D
23,99,19,1D
0,100,19,1D
1,101,19,1D
3,102,19,1D
7,103,19,1D
10,104,19,1D
13,105,19,1D
16,106,19,1D
17,107,19,1D
19,108,19,1D
23,109,19,1D
0,110,19,1D
4,111,19,1D
4,112,19,1D
4,113,19,1D
6,114,19,1D
9,115,19,1D
11,116,19,1D
14,117,19,1D
19,118,19,1D
20,119,19,1D
0,120,19,1D
2,121,19,1D
4,122,19,1D
6,123,19,1D
9,124,19,1D
11,125,19,1D
12,126,19,1D
14,127,19,1D
17,128,19,1D
20,129,19,1D
0,130,19,1D
2,131,19,1D
3,132,19,1D
6,133,19,1D
6,134,19,1D
8,135,19,1D
10,136,19,1D
16,137,19,1D
18,138,19,1D
18,139,19,1D
0,140,19,1D
3,141,19,1D
5,142,19,1D
5,143,19,1D
6,144,19,1D
8,145,19,1D
10,146,19,1D
12,147,19,1D
15,148,19,1D
