Value,Iteration,Seed,Scheduler
378.76028364346575,1,3,1D
378.76028364346575,2,3,1D
378.76028364346575,3,3,1D
378.76028364346575,4,3,1D
378.76028364346575,5,3,1D
0.0,6,3,1D
0.0,7,3,1D
0.0,8,3,1D
0.0,9,3,1D
0.0,10,3,1D
459.7513026039937,11,3,1D
459.7513026039937,12,3,1D
459.7513026039937,13,3,1D
459.7513026039937,14,3,1D
459.7513026039937,15,3,1D
0.0,16,3,1D
0.0,17,3,1D
0.0,18,3,1D
0.0,19,3,1D
0.0,20,3,1D
520.521030954843,21,3,1D
520.521030954843,22,3,1D
520.521030954843,23,3,1D
520.521030954843,24,3,1D
520.521030954843,25,3,1D
0.0,26,3,1D
0.0,27,3,1D
0.0,28,3,1D
0.0,29,3,1D
0.0,30,3,1D
519.6023780286482,31,3,1D
519.6023780286482,32,3,1D
519.6023780286482,33,3,1D
519.6023780286482,34,3,1D
519.6023780286482,35,3,1D
0.0,36,3,1D
0.0,37,3,1D
0.0,38,3,1D
0.0,39,3,1D
0.0,40,3,1D
509.0280289128232,41,3,1D
509.0280289128232,42,3,1D
509.0280289128232,43,3,1D
509.0280289128232,44,3,1D
509.0280289128232,45,3,1D
0.0,46,3,1D
0.0,47,3,1D
0.0,48,3,1D
0.0,49,3,1D
0.0,50,3,1D
262.7469855912757,51,3,1D
262.7469855912757,52,3,1D
262.7469855912757,53,3,1D
262.7469855912757,54,3,1D
262.7469855912757,55,3,1D
0.0,56,3,1D
0.0,57,3,1D
0.0,58,3,1D
0.0,59,3,1D
0.0,60,3,1D
380.6134874876141,61,3,1D
380.6134874876141,62,3,1D
380.6134874876141,63,3,1D
380.6134874876141,64,3,1D
380.6134874876141,65,3,1D
0.0,66,3,1D
0.0,67,3,1D
0.0,68,3,1D
0.0,69,3,1D
0.0,70,3,1D
534.4118710948669,71,3,1D
534.4118710948669,72,3,1D
534.4118710948669,73,3,1D
534.4118710948669,74,3,1D
534.4118710948669,75,3,1D
0.0,76,3,1D
0.0,77,3,1D
0.0,78,3,1D
0.0,79,3,1D
0.0,80,3,1D
477.1554146265652,81,3,1D
477.1554146265652,82,3,1D
477.1554146265652,83,3,1D
477.1554146265652,84,3,1D
477.1554146265652,85,3,1D
0.0,86,3,1D
0.0,87,3,1D
0.0,88,3,1D
0.0,89,3,1D
0.0,90,3,1D
488.639568185928,91,3,1D
488.639568185928,92,3,1D
488.639568185928,93,3,1D
488.639568185928,94,3,1D
488.639568185928,95,3,1D
0.0,96,3,1D
0.0,97,3,1D
0.0,98,3,1D
0.0,99,3,1D
0.0,100,3,1D
396.9859751991662,101,3,1D
396.9859751991662,102,3,1D
396.9859751991662,103,3,1D
396.9859751991662,104,3,1D
396.9859751991662,105,3,1D
0.0,106,3,1D
0.0,107,3,1D
0.0,108,3,1D
0.0,109,3,1D
0.0,110,3,1D
322.5841094819916,111,3,1D
322.5841094819916,112,3,1D
322.5841094819916,113,3,1D
322.5841094819916,114,3,1D
322.5841094819916,115,3,1D
0.0,116,3,1D
0.0,117,3,1D
0.0,118,3,1D
0.0,119,3,1D
0.0,120,3,1D
332.2957744225726,121,3,1D
332.2957744225726,122,3,1D
332.2957744225726,123,3,1D
332.2957744225726,124,3,1D
332.2957744225726,125,3,1D
0.0,126,3,1D
0.0,127,3,1D
0.0,128,3,1D
0.0,129,3,1D
0.0,130,3,1D
315.62142591630703,131,3,1D
315.62142591630703,132,3,1D
315.62142591630703,133,3,1D
315.62142591630703,134,3,1D
315.62142591630703,135,3,1D
0.0,136,3,1D
0.0,137,3,1D
0.0,138,3,1D
0.0,139,3,1D
0.0,140,3,1D
375.0358373466943,141,3,1D
375.0358373466943,142,3,1D
375.0358373466943,143,3,1D
375.0358373466943,144,3,1D
375.0358373466943,145,3,1D
0.0,146,3,1D
0.0,147,3,1D
0.0,148,3,1D
0.0,149,3,1D
0.0,150,3,1D
460.11574350247054,151,3,1D
460.11574350247054,152,3,1D
460.11574350247054,153,3,1D
460.11574350247054,154,3,1D
460.11574350247054,155,3,1D
0.0,156,3,1D
0.0,157,3,1D
0.0,158,3,1D
0.0,159,3,1D
0.0,160,3,1D
411.30961806963103,161,3,1D
411.30961806963103,162,3,1D
411.30961806963103,163,3,1D
411.30961806963103,164,3,1D
411.30961806963103,165,3,1D
0.0,166,3,1D
0.0,167,3,1D
0.0,168,3,1D
0.0,169,3,1D
0.0,170,3,1D
451.8058849975711,171,3,1D
451.8058849975711,172,3,1D
451.8058849975711,173,3,1D
451.8058849975711,174,3,1D
451.8058849975711,175,3,1D
0.0,176,3,1D
0.0,177,3,1D
0.0,178,3,1D
0.0,179,3,1D
0.0,180,3,1D
430.12292640276746,181,3,1D
430.12292640276746,182,3,1D
430.12292640276746,183,3,1D
430.12292640276746,184,3,1D
430.12292640276746,185,3,1D
0.0,186,3,1D
0.0,187,3,1D
0.0,188,3,1D
0.0,189,3,1D
0.0,190,3,1D
175.95658811858783,191,3,1D
463.82175207000296,1,3,4D
463.82175207000296,2,3,4D
463.82175207000296,3,3,4D
463.82175207000296,4,3,4D
463.82175207000296,5,3,4D
0.0,6,3,4D
0.0,7,3,4D
0.0,8,3,4D
0.0,9,3,4D
0.0,10,3,4D
508.6172391710308,11,3,4D
508.6172391710308,12,3,4D
508.6172391710308,13,3,4D
508.6172391710308,14,3,4D
508.6172391710308,15,3,4D
0.0,16,3,4D
0.0,17,3,4D
0.0,18,3,4D
0.0,19,3,4D
0.0,20,3,4D
479.0569899254113,21,3,4D
479.0569899254113,22,3,4D
479.0569899254113,23,3,4D
479.0569899254113,24,3,4D
479.0569899254113,25,3,4D
0.0,26,3,4D
0.0,27,3,4D
0.0,28,3,4D
0.0,29,3,4D
0.0,30,3,4D
441.5661358851347,31,3,4D
441.5661358851347,32,3,4D
441.5661358851347,33,3,4D
441.5661358851347,34,3,4D
441.5661358851347,35,3,4D
0.0,36,3,4D
0.0,37,3,4D
0.0,38,3,4D
0.0,39,3,4D
0.0,40,3,4D
494.6009070921942,41,3,4D
494.6009070921942,42,3,4D
494.6009070921942,43,3,4D
494.6009070921942,44,3,4D
494.6009070921942,45,3,4D
0.0,46,3,4D
0.0,47,3,4D
0.0,48,3,4D
0.0,49,3,4D
0.0,50,3,4D
360.094411168256,51,3,4D
360.094411168256,52,3,4D
360.094411168256,53,3,4D
360.094411168256,54,3,4D
360.094411168256,55,3,4D
0.0,56,3,4D
0.0,57,3,4D
0.0,58,3,4D
0.0,59,3,4D
0.0,60,3,4D
411.7574818268348,61,3,4D
411.7574818268348,62,3,4D
411.7574818268348,63,3,4D
411.7574818268348,64,3,4D
411.7574818268348,65,3,4D
0.0,66,3,4D
0.0,67,3,4D
0.0,68,3,4D
0.0,69,3,4D
0.0,70,3,4D
468.1507004509624,71,3,4D
468.1507004509624,72,3,4D
468.1507004509624,73,3,4D
468.1507004509624,74,3,4D
468.1507004509624,75,3,4D
0.0,76,3,4D
0.0,77,3,4D
0.0,78,3,4D
0.0,79,3,4D
0.0,80,3,4D
