Time_Step,Energy_Consumed
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1624
11,1624
12,1624
13,1624
14,1624
15,1072
16,1072
17,1072
18,1072
19,1072
20,1750
21,1750
22,1750
23,1750
24,1750
25,1206
26,1206
27,1206
28,1206
29,1206
30,1715
31,1715
32,1715
33,1715
34,1715
35,1206
36,1206
37,1206
38,1206
39,1206
40,1578
41,1578
42,1578
43,1578
44,1578
45,1206
46,1206
47,1206
48,1206
49,1206
50,1547
51,1547
52,1547
53,1547
54,1547
55,1206
56,1206
57,1206
58,1206
59,1206
60,1616
61,1616
62,1616
63,1616
64,1616
65,1206
66,1206
67,1206
68,1206
69,1206
70,2085
71,2085
72,2085
73,2085
74,2085
75,1340
76,1340
77,1340
78,1340
79,1340
80,1993
81,1993
82,1993
83,1993
84,1993
85,1340
86,1340
87,1340
88,1340
89,1340
90,1673
91,1673
92,1673
93,1673
94,1673
95,1340
96,1340
97,1340
98,1340
99,1340
100,1659
101,1659
102,1659
103,1659
104,1659
105,1340
106,1340
107,1340
108,1340
109,1340
110,1767
111,1767
112,1767
113,1767
114,1767
115,1340
116,1340
117,1340
118,1340
119,1340
120,1745
121,1745
122,1745
123,1745
124,1745
125,1340
126,1340
127,1340
128,1340
129,1340
130,1940
131,1940
132,1940
133,1940
134,1940
135,1340
136,1340
137,1340
138,1340
139,1340
140,1923
141,1923
142,1923
143,1923
144,1923
145,1340
146,1340
147,1340
148,1340
149,1340
150,1892
151,1892
152,1892
153,1892
154,1892
155,1340
156,1340
157,1340
158,1340
159,1340
160,1787
161,1787
162,1787
163,1787
164,1787
165,1340
166,1340
167,1340
168,1340
169,1340
170,2022
171,2022
172,2022
173,2022
174,2022
175,1340
176,1340
177,1340
178,1340
179,1340
180,1578
181,1578
182,1578
183,1578
184,1578
185,1340
186,1340
187,1340
188,1340
189,1340
190,1873
191,1873
192,1873
193,1873
194,1873
195,1340
196,1340
197,1340
198,1340
199,1340
200,1707
