Value,Iteration,Seed,Scheduler
510.177863909953,1,15,1D
510.177863909953,2,15,1D
510.177863909953,3,15,1D
510.177863909953,4,15,1D
510.177863909953,5,15,1D
0.0,6,15,1D
0.0,7,15,1D
0.0,8,15,1D
0.0,9,15,1D
0.0,10,15,1D
268.5423107614116,11,15,1D
268.5423107614116,12,15,1D
268.5423107614116,13,15,1D
268.5423107614116,14,15,1D
268.5423107614116,15,15,1D
0.0,16,15,1D
0.0,17,15,1D
0.0,18,15,1D
0.0,19,15,1D
0.0,20,15,1D
423.9511119199281,21,15,1D
423.9511119199281,22,15,1D
423.9511119199281,23,15,1D
423.9511119199281,24,15,1D
423.9511119199281,25,15,1D
0.0,26,15,1D
0.0,27,15,1D
0.0,28,15,1D
0.0,29,15,1D
0.0,30,15,1D
361.0360224909935,31,15,1D
361.0360224909935,32,15,1D
361.0360224909935,33,15,1D
361.0360224909935,34,15,1D
361.0360224909935,35,15,1D
0.0,36,15,1D
0.0,37,15,1D
0.0,38,15,1D
0.0,39,15,1D
0.0,40,15,1D
304.86453403107976,41,15,1D
304.86453403107976,42,15,1D
304.86453403107976,43,15,1D
304.86453403107976,44,15,1D
304.86453403107976,45,15,1D
0.0,46,15,1D
0.0,47,15,1D
0.0,48,15,1D
0.0,49,15,1D
0.0,50,15,1D
114.79472960727256,51,15,1D
114.79472960727256,52,15,1D
114.79472960727256,53,15,1D
114.79472960727256,54,15,1D
114.79472960727256,55,15,1D
0.0,56,15,1D
0.0,57,15,1D
0.0,58,15,1D
0.0,59,15,1D
0.0,60,15,1D
411.3452629876789,61,15,1D
411.3452629876789,62,15,1D
411.3452629876789,63,15,1D
411.3452629876789,64,15,1D
411.3452629876789,65,15,1D
0.0,66,15,1D
0.0,67,15,1D
0.0,68,15,1D
0.0,69,15,1D
0.0,70,15,1D
469.19011711245696,71,15,1D
469.19011711245696,72,15,1D
469.19011711245696,73,15,1D
469.19011711245696,74,15,1D
469.19011711245696,75,15,1D
0.0,76,15,1D
0.0,77,15,1D
0.0,78,15,1D
0.0,79,15,1D
0.0,80,15,1D
292.74484553232486,81,15,1D
292.74484553232486,82,15,1D
292.74484553232486,83,15,1D
292.74484553232486,84,15,1D
292.74484553232486,85,15,1D
0.0,86,15,1D
0.0,87,15,1D
0.0,88,15,1D
0.0,89,15,1D
0.0,90,15,1D
430.0016245021269,91,15,1D
430.0016245021269,92,15,1D
430.0016245021269,93,15,1D
430.0016245021269,94,15,1D
430.0016245021269,95,15,1D
0.0,96,15,1D
0.0,97,15,1D
0.0,98,15,1D
0.0,99,15,1D
0.0,100,15,1D
466.01478984756096,101,15,1D
466.01478984756096,102,15,1D
466.01478984756096,103,15,1D
466.01478984756096,104,15,1D
466.01478984756096,105,15,1D
0.0,106,15,1D
0.0,107,15,1D
0.0,108,15,1D
0.0,109,15,1D
0.0,110,15,1D
605.2687592659661,111,15,1D
605.2687592659661,112,15,1D
605.2687592659661,113,15,1D
605.2687592659661,114,15,1D
605.2687592659661,115,15,1D
0.0,116,15,1D
0.0,117,15,1D
0.0,118,15,1D
0.0,119,15,1D
0.0,120,15,1D
520.5522196385805,121,15,1D
520.5522196385805,122,15,1D
520.5522196385805,123,15,1D
520.5522196385805,124,15,1D
520.5522196385805,125,15,1D
0.0,126,15,1D
0.0,127,15,1D
0.0,128,15,1D
0.0,129,15,1D
0.0,130,15,1D
424.1114131123701,131,15,1D
424.1114131123701,132,15,1D
424.1114131123701,133,15,1D
424.1114131123701,134,15,1D
424.1114131123701,135,15,1D
0.0,136,15,1D
0.0,137,15,1D
0.0,138,15,1D
0.0,139,15,1D
0.0,140,15,1D
432.7247235764125,141,15,1D
432.7247235764125,142,15,1D
432.7247235764125,143,15,1D
432.7247235764125,144,15,1D
432.7247235764125,145,15,1D
0.0,146,15,1D
0.0,147,15,1D
0.0,148,15,1D
0.0,149,15,1D
0.0,150,15,1D
428.2042834617568,151,15,1D
428.2042834617568,152,15,1D
428.2042834617568,153,15,1D
428.2042834617568,154,15,1D
428.2042834617568,155,15,1D
0.0,156,15,1D
0.0,157,15,1D
0.0,158,15,1D
0.0,159,15,1D
0.0,160,15,1D
564.4781959248727,161,15,1D
564.4781959248727,162,15,1D
564.4781959248727,163,15,1D
564.4781959248727,164,15,1D
564.4781959248727,165,15,1D
0.0,166,15,1D
0.0,167,15,1D
0.0,168,15,1D
0.0,169,15,1D
0.0,170,15,1D
478.0066433504038,171,15,1D
478.0066433504038,172,15,1D
478.0066433504038,173,15,1D
478.0066433504038,174,15,1D
478.0066433504038,175,15,1D
0.0,176,15,1D
0.0,177,15,1D
0.0,178,15,1D
0.0,179,15,1D
0.0,180,15,1D
367.5795586671062,181,15,1D
367.5795586671062,182,15,1D
367.5795586671062,183,15,1D
367.5795586671062,184,15,1D
367.5795586671062,185,15,1D
0.0,186,15,1D
0.0,187,15,1D
0.0,188,15,1D
0.0,189,15,1D
0.0,190,15,1D
462.5775975677389,191,15,1D
542.6801073436518,1,15,4D
542.6801073436518,2,15,4D
542.6801073436518,3,15,4D
542.6801073436518,4,15,4D
542.6801073436518,5,15,4D
0.0,6,15,4D
0.0,7,15,4D
0.0,8,15,4D
0.0,9,15,4D
0.0,10,15,4D
288.5611662464884,11,15,4D
288.5611662464884,12,15,4D
288.5611662464884,13,15,4D
288.5611662464884,14,15,4D
288.5611662464884,15,15,4D
0.0,16,15,4D
0.0,17,15,4D
0.0,18,15,4D
0.0,19,15,4D
0.0,20,15,4D
423.95111191992817,21,15,4D
423.95111191992817,22,15,4D
423.95111191992817,23,15,4D
423.95111191992817,24,15,4D
423.95111191992817,25,15,4D
0.0,26,15,4D
0.0,27,15,4D
0.0,28,15,4D
0.0,29,15,4D
0.0,30,15,4D
374.54552482865824,31,15,4D
374.54552482865824,32,15,4D
374.54552482865824,33,15,4D
374.54552482865824,34,15,4D
374.54552482865824,35,15,4D
0.0,36,15,4D
0.0,37,15,4D
0.0,38,15,4D
0.0,39,15,4D
0.0,40,15,4D
361.6840700511426,41,15,4D
361.6840700511426,42,15,4D
361.6840700511426,43,15,4D
361.6840700511426,44,15,4D
361.6840700511426,45,15,4D
0.0,46,15,4D
0.0,47,15,4D
0.0,48,15,4D
0.0,49,15,4D
0.0,50,15,4D
112.32290281045192,51,15,4D
112.32290281045192,52,15,4D
112.32290281045192,53,15,4D
112.32290281045192,54,15,4D
112.32290281045192,55,15,4D
0.0,56,15,4D
0.0,57,15,4D
0.0,58,15,4D
0.0,59,15,4D
0.0,60,15,4D
427.6501751709194,61,15,4D
427.6501751709194,62,15,4D
427.6501751709194,63,15,4D
427.6501751709194,64,15,4D
427.6501751709194,65,15,4D
0.0,66,15,4D
0.0,67,15,4D
0.0,68,15,4D
0.0,69,15,4D
0.0,70,15,4D
456.9744777658858,71,15,4D
456.9744777658858,72,15,4D
456.9744777658858,73,15,4D
456.9744777658858,74,15,4D
456.9744777658858,75,15,4D
0.0,76,15,4D
0.0,77,15,4D
0.0,78,15,4D
0.0,79,15,4D
0.0,80,15,4D
292.7448455323248,81,15,4D
292.7448455323248,82,15,4D
292.7448455323248,83,15,4D
292.7448455323248,84,15,4D
292.7448455323248,85,15,4D
0.0,86,15,4D
0.0,87,15,4D
0.0,88,15,4D
0.0,89,15,4D
0.0,90,15,4D
495.15841962166746,91,15,4D
495.15841962166746,92,15,4D
495.15841962166746,93,15,4D
495.15841962166746,94,15,4D
495.15841962166746,95,15,4D
0.0,96,15,4D
0.0,97,15,4D
0.0,98,15,4D
0.0,99,15,4D
0.0,100,15,4D
449.3315822695233,101,15,4D
449.3315822695233,102,15,4D
449.3315822695233,103,15,4D
449.3315822695233,104,15,4D
449.3315822695233,105,15,4D
0.0,106,15,4D
0.0,107,15,4D
0.0,108,15,4D
0.0,109,15,4D
0.0,110,15,4D
511.3174689140715,111,15,4D
511.3174689140715,112,15,4D
511.3174689140715,113,15,4D
511.3174689140715,114,15,4D
511.3174689140715,115,15,4D
0.0,116,15,4D
0.0,117,15,4D
0.0,118,15,4D
0.0,119,15,4D
0.0,120,15,4D
520.5522196385806,121,15,4D
520.5522196385806,122,15,4D
520.5522196385806,123,15,4D
520.5522196385806,124,15,4D
520.5522196385806,125,15,4D
0.0,126,15,4D
0.0,127,15,4D
0.0,128,15,4D
0.0,129,15,4D
0.0,130,15,4D
424.1114131123702,131,15,4D
424.1114131123702,132,15,4D
424.1114131123702,133,15,4D
424.1114131123702,134,15,4D
424.1114131123702,135,15,4D
0.0,136,15,4D
0.0,137,15,4D
0.0,138,15,4D
0.0,139,15,4D
0.0,140,15,4D
432.7247235764126,141,15,4D
432.7247235764126,142,15,4D
432.7247235764126,143,15,4D
432.7247235764126,144,15,4D
432.7247235764126,145,15,4D
0.0,146,15,4D
0.0,147,15,4D
0.0,148,15,4D
0.0,149,15,4D
0.0,150,15,4D
428.2042834617567,151,15,4D
428.2042834617567,152,15,4D
428.2042834617567,153,15,4D
428.2042834617567,154,15,4D
428.2042834617567,155,15,4D
0.0,156,15,4D
0.0,157,15,4D
0.0,158,15,4D
0.0,159,15,4D
0.0,160,15,4D
