Value,Iteration,Seed,Scheduler
3,1,23,1D
4,2,23,1D
4,3,23,1D
4,4,23,1D
5,5,23,1D
7,6,23,1D
10,7,23,1D
11,8,23,1D
14,9,23,1D
0,10,23,1D
0,11,23,1D
0,12,23,1D
3,13,23,1D
5,14,23,1D
6,15,23,1D
8,16,23,1D
13,17,23,1D
15,18,23,1D
16,19,23,1D
0,20,23,1D
0,21,23,1D
4,22,23,1D
4,23,23,1D
5,24,23,1D
8,25,23,1D
9,26,23,1D
11,27,23,1D
13,28,23,1D
16,29,23,1D
0,30,23,1D
1,31,23,1D
1,32,23,1D
6,33,23,1D
7,34,23,1D
10,35,23,1D
13,36,23,1D
14,37,23,1D
16,38,23,1D
18,39,23,1D
0,40,23,1D
0,41,23,1D
4,42,23,1D
5,43,23,1D
6,44,23,1D
7,45,23,1D
10,46,23,1D
15,47,23,1D
17,48,23,1D
19,49,23,1D
0,50,23,1D
2,51,23,1D
2,52,23,1D
3,53,23,1D
7,54,23,1D
8,55,23,1D
10,56,23,1D
12,57,23,1D
12,58,23,1D
13,59,23,1D
0,60,23,1D
1,61,23,1D
3,62,23,1D
4,63,23,1D
5,64,23,1D
8,65,23,1D
12,66,23,1D
12,67,23,1D
15,68,23,1D
17,69,23,1D
0,70,23,1D
1,71,23,1D
3,72,23,1D
3,73,23,1D
5,74,23,1D
6,75,23,1D
6,76,23,1D
7,77,23,1D
10,78,23,1D
10,79,23,1D
0,80,23,1D
1,81,23,1D
1,82,23,1D
1,83,23,1D
2,84,23,1D
4,85,23,1D
5,86,23,1D
6,87,23,1D
7,88,23,1D
10,89,23,1D
0,90,23,1D
1,91,23,1D
8,92,23,1D
8,93,23,1D
10,94,23,1D
10,95,23,1D
11,96,23,1D
13,97,23,1D
14,98,23,1D
19,99,23,1D
0,100,23,1D
0,101,23,1D
3,102,23,1D
5,103,23,1D
6,104,23,1D
7,105,23,1D
8,106,23,1D
9,107,23,1D
12,108,23,1D
17,109,23,1D
0,110,23,1D
2,111,23,1D
5,112,23,1D
7,113,23,1D
8,114,23,1D
9,115,23,1D
11,116,23,1D
13,117,23,1D
14,118,23,1D
16,119,23,1D
0,120,23,1D
3,121,23,1D
4,122,23,1D
6,123,23,1D
9,124,23,1D
10,125,23,1D
12,126,23,1D
12,127,23,1D
13,128,23,1D
14,129,23,1D
0,130,23,1D
0,131,23,1D
5,132,23,1D
6,133,23,1D
7,134,23,1D
9,135,23,1D
11,136,23,1D
